2014-10-03 23:13:40 startup archives install
2014-10-03 23:13:40 install base-passwd:armhf <none> 3.5.26
2014-10-03 23:13:40 status half-installed base-passwd:armhf 3.5.26
2014-10-03 23:13:40 status unpacked base-passwd:armhf 3.5.26
2014-10-03 23:13:40 status unpacked base-passwd:armhf 3.5.26
2014-10-03 23:13:40 configure base-passwd:armhf 3.5.26 3.5.26
2014-10-03 23:13:40 status unpacked base-passwd:armhf 3.5.26
2014-10-03 23:13:40 status half-configured base-passwd:armhf 3.5.26
2014-10-03 23:13:40 status installed base-passwd:armhf 3.5.26
2014-10-03 23:13:40 startup archives install
2014-10-03 23:13:40 install base-files:armhf <none> 7.1wheezy6+rpi1
2014-10-03 23:13:40 status half-installed base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 configure base-files:armhf 7.1wheezy6+rpi1 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status unpacked base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:41 status half-configured base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:43 status installed base-files:armhf 7.1wheezy6+rpi1
2014-10-03 23:13:43 startup archives install
2014-10-03 23:13:43 upgrade dpkg 1.16.15+rpi1 1.16.15+rpi1
2014-10-03 23:13:43 status half-configured dpkg 1.16.15+rpi1
2014-10-03 23:13:43 status unpacked dpkg 1.16.15+rpi1
2014-10-03 23:13:43 status half-installed dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status half-installed dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status unpacked dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status unpacked dpkg 1.16.15+rpi1
2014-10-03 23:13:44 configure dpkg 1.16.15+rpi1 1.16.15+rpi1
2014-10-03 23:13:44 status unpacked dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status unpacked dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status unpacked dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status unpacked dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status unpacked dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status half-configured dpkg 1.16.15+rpi1
2014-10-03 23:13:44 status installed dpkg 1.16.15+rpi1
2014-10-03 23:13:44 startup archives install
2014-10-03 23:13:44 install libc6:armhf <none> 2.13-38+rpi2+deb7u3
2014-10-03 23:13:44 status half-installed libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:13:45 status unpacked libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:13:46 status unpacked libc6:armhf 2.13-38+rpi2+deb7u3
2014-10-03 23:13:46 configure libc6:armhf 2.13-38+rpi2+deb7u3 2.13-38+rpi2+deb7u3
2014-10-03 23:13:46 status unpacked libc6:armhf 2.13-38+rpi2+deb7u3
